"id","TCaCO3","TC_CaCO3","TC_CHN","TOC_CHN","TOC_re6","Cstable_TOC_re6_ratio","Cstable_re6_corrCHN","Cactive_AMG_re6_corrCHN","clay_sed","sand_sed","fine_medium_silt_sed","coarse_silt_sed","texture_class"
24287,590,70.80153266658007,88.21,17.40846733341992,16.14,0.539,9.383163892713338,8.025303440706583,574.2,65.4,245.8,114.6,"clay"
24288,521,62.5213534225224,81.07,18.54864657747759,18.84,0.5477000000000001,10.15909373048448,8.389552846993112,543.2,71.3,281,104.5,"clay"
24289,368,44.16095596830758,61.64,17.47904403169242,18.8,0.5558,9.714852672814647,7.764191358877774,450.6,32.3,422.6,94.5,"silty_clay"
24290,450,54.0011689829848,77.32,23.31883101701519,23.41,0.5031,11.73170388466034,11.58712713235485,455.5,61.2,422.3,61,"silty_clay"
24291,382,45.8409923366671,67.58,21.7390076633329,20.8,0.5168,11.23471916041044,10.50428850292246,475.1,51.2,407.3,66.4,"silty_clay"
23956,6,0.7200155864397974,14.1,13.3799844135602,11.62,0.6218,8.319674308351733,5.060310105208467,274.7,134.2,244.9,346.1,"silty_clay_loam"
23957,1,0.1200025977399662,16.2,16.07999740226003,14.36,0.6054999999999999,9.736438427068448,6.343558975191583,202,37.7,282.9,477.4,"silt_loam"
23959,3,0.3600077932198987,15,14.6399922067801,13.38,0.5581,8.170579650603974,6.469412556176126,187.9,41.3,292.2,478.6,"silt_loam"
23961,2,0.2400051954799325,10.9,10.65999480452007,9.19,0.6848000000000001,7.299964442135344,3.360030362384725,222.6,56.3,268.8,452.3,"silt_loam"
23963,2,0.2400051954799325,13.1,12.85999480452007,11.63,0.6191,7.961622783478376,4.898372021041695,189.7,35.3,301.1,473.9,"silt_loam"
24299,545,65.4014157682816,83.918,18.51658423171841,17.03,0.5299,9.811937984387587,8.704646247330825,497.8,68,303.2,131,"silty_clay"
24340,385,46.201000129887,63.889,17.687999870113,14.35,0.5977,10.57211752236654,7.11588234774646,539.9,228.6,154.7,76.8,"clay"
24298,453,54.3611767762047,71,16.6388232237953,18.93,0.5318,8.848526190414342,7.790297033380958,597.6,57.9,248.8,95.7,"clay"
