"sample_id","TN_CHN","TC_CHN"
30355,1.5,79.9
30577,1.5,78.4
30682,2,58.1
30684,2,67.9
29898,1.2,11.9
30373,0.78,8.7
30374,0.9,11
24229,2.6,47.9
24231,1.8,43.8
30407,1.7,55.8
30409,1.8,62.4
30414,1.8,85.1
30486,1.9,71.7
25974,1.6,41
26294,1.8,17.3
28673,1,12.9
30483,1.7,55.6
24249,2.2,81.3
27087,1.4,46.7
28820,2.9,35
29502,1.8,60.1
30490,1.8,71.2
30504,2.6,25.5
29665,2.7,42.4
29744,1.1,77.2
30505,2.9,67.8
30507,2.7,64.4
29776,1.6,17.5
30248,1.2,17.6
30509,2.5,73.7
30516,3.1,59.5
30532,1.8,62.9
18053,1.5,14.6
26830,1.6,22.8
30326,0.98,10.1
30525,1.4,93.1
30544,0.9,9.06
18059,0.9,9.5
30270,1.4,19.9
30526,1.2,91.1
30527,2.7,78.5
26534,1.4,15.5
28036,1.2,10.7
29705,4.1,68.7
29741,1.3,82.5
30528,2.3,72.9
18101,1.3,14.2
26333,0.94,12.7
26565,1.8,53.3
30548,0.71,9.34
30549,0.88,10.2
26307,0.71,8.69
26666,1.4,22.8
30562,2,74.8
30566,1.5,91
18535,1.3,14
30575,2.2,77.6
30670,1.6,61.2
30671,0.83,10.2
26306,1.6,64.8
26852,0.84,12.1
30376,1.1,12.5
30377,1.5,26.3
30576,2.5,66.1
26853,0.75,11.5
26857,0.8,10.3
30378,1.2,13.4
30416,2.1,73.6
30417,2.2,48.8
27489,0.94,13.2
27491,0.9,10.3
30053,3.5,72.2
30419,1.3,91.2
30422,1.5,80.1
27527,1.2,15.2
29561,0.53,12.1
29563,1,18.2
30202,5.1,75.3
30203,1.4,84.2
30437,2.2,38.6
30440,2.7,31.9
26100,3.2,40.2
26793,1.2,14.1
26886,1.2,11
26921,0.96,9.05
30443,1.9,73.8
26736,1.2,12.1
30453,2.3,32.1
30534,1.7,29.1
30536,1.3,12.7
30556,2.5,33.9
28693,2.3,79.5
30672,0.9,11.4
30673,0.95,10.6
30674,2.3,61.7
30675,2.5,73.8
29770,1.5,14.8
30676,2.5,25.3
30677,2,68.6
30678,2.4,54.2
29702,1.7,19.6
30089,1.5,17.1
30652,1.6,15.2
28669,1,11.7
28696,1.4,13.8
30090,1.6,16.2
28819,1.7,43.2
28826,2.6,25
30691,3,41.6
30693,1.7,21.4
29710,2.4,30.3
29711,1.8,22.8
29738,0.95,79.5
29739,1.2,62.1
30746,3.8,42.3
30747,3.2,33.2
29091,1.8,31.4
29097,1.5,21
29099,1.2,14.6
29740,0.33,8.8
26377,1.1,35.7
26723,1.9,17.7
29174,1.2,12.4
29719,3.5,35
26141,2.2,45
26734,2,24.9
28148,1.8,15.2
29418,1.5,13.8
30122,13,248
30184,1.2,27.4
26979,1,10.5
29743,0.98,8.24
30102,1.1,26.3
26157,1.4,92.1
26386,0.88,34.7
26390,0.61,30.5
28406,1,12.5
30183,1.3,33.7
26013,2,80.3
26375,0.83,33.8
29728,3.4,36.7
30431,2.8,69.4
30769,1,8.5
29718,2.8,41.1
29745,1.5,63.5
30665,1.7,28.2
22344,1.5,17.1
30313,1.6,23.7
30314,1.6,65.2
30529,1.6,63.9
24253,2.3,62.8
22805,1.1,10.8
22806,1.2,12.7
24248,1.8,88.2
30325,0.69,6.17
30352,1.1,16.2
30354,2.3,39.1
30644,2.3,25.8
24389,1.886,88.412
24395,1.472,94.696
30328,1.3,13.4
30438,1.4,17.8
30541,1.9,73.1
30542,2,71.9
10609,2.9,52.2
24195,1.2,11.9
24199,1.6,16
24413,2.514,59.295
24414,1.963,111.563
30689,2,24
24390,1.523,76.576
25938,1.6,58.6
30565,2.3,98.2
30690,2.4,29.8
30695,4.8,53.4
30706,1.6,21.9
25993,2.1,73.9
26129,1.5,64.6
26130,3.2,85.2
30654,2.2,54.6
30656,2.1,95.1
30770,1.3,82.7
11508,1.9,69.8
26182,1.8,53.6
26183,1.8,85.2
26184,2.3,63.4
24256,2.1,66.7
17912,1.6,63.5
17919,0.9,13.3
18022,2,61
23927,2.064,46.068
24260,1.5,34
32412,0.99,23.3
32414,0.63,12.4
657,1.4,12.1
671,1.3,11.5
622,1.6,13.6
629,1.7,14.9
636,1.4,13.4
643,2,18.3
650,1.8,15.5
23269,1.4,12.2
23281,1.5,17.4
692,1.1,12.9
714,1.2,12.6
721,1.2,10.9
728,1.6,14
735,1.3,11.3
742,1.5,13.5
749,1.6,15.5
756,1.1,9.3
763,1.4,13.4
777,1.6,18
784,1.4,15.9
791,1.4,17.5
798,1.3,12.8
805,1.3,11.4
826,1.3,11.7
849,1.5,14.6
863,1.1,9.7
870,1.7,19.8
877,1.5,13.9
884,2.1,24.7
891,1.4,13
898,1.6,94.2
905,2,103
917,2,110.6
924,2,78.2
931,2.1,73.2
938,1.6,26.7
952,1.4,12.5
959,1.3,11.5
966,1.4,87
994,2,50.9
1008,2.5,30.8
1015,1.7,64.4
1029,1.7,55.8
1036,1.4,55.9
1043,1.9,71.9
1050,1.4,60.8
1064,1.2,11.6
1085,2.1,46.4
1099,1.6,29.6
1106,2.9,49.3
1113,1.4,27.4
1120,2,65.4
1127,1.8,83.9
1141,1.6,81.7
1148,1.6,86.9
1155,1.4,17.4
1169,1.8,34
1183,1.7,60.5
1296,2.1,52.3
1310,1.4,46.3
1317,1.6,14.1
1324,1.8,15.5
1331,1.8,15.1
1338,1.8,15.3
1345,1.6,14.1
1352,1.6,14.8
1359,1.6,13.6
1373,1.3,11.6
1380,2.4,38.8
1387,2.7,34.2
1394,1.2,11.3
1401,1.3,12.1
1542,1.3,11.7
1549,1.4,12.8
1556,1.4,12.3
1563,2.4,27
1570,1.8,14.8
1578,3.3,31.6
1585,5.2,59.6
1590,4.4,50.7
1599,2.5,22.8
1603,2.7,27
1613,2.3,20.7
1617,3.2,34.1
1627,3.8,39.5
1637,3,28.9
1644,6,71
1677,3,30
1906,1.08338437974453,10.5262804031372
2489,1.37,13.1
2496,2.3,86.5
2503,1.8,58.8
2510,1.7,35.8
2517,1.41,12.5
2524,2.39,29.5
2531,0.9,9.8
2552,2.4,31
2559,1.98,21.9
2573,2.842,39.216
2580,2.2995314002037,40.764
2587,2.5622633099556,24.882
2594,1.123,12.126
2608,2.09,19.3
2649,2.9,46.745
2656,1.76,17.5
2663,1.47,13.5
2691,1.279,12.245
2698,1.51,13
2705,1.7,14.1
2712,2.267,35.92
2746,2.6,51.073
2753,2.3396036028862,29.124
2767,1.43,13.7
2772,2.2,105.387
2816,1.2,13.8
2822,3,49.51600000000001
2837,1.424,13.912
2839,1.64,15
2851,2.129,22.188
2858,1.65,14.7
2863,2.3,47
2870,1.9,17.9
2879,0.9,10.2
2884,0.9,10.2
